Trading Day,AAPL,BNTX,BRK-B,CSCO,IYK
242,133.7841797,116.0331268,235.1600037,42.61135101,54.92662811
243,133.9309082,117.9378967,237.4199982,43.37353897,55.34965134
244,133.0504761,115.9936447,239.9100037,42.98357391,55.0848732
245,132.443985,117.789856,239.9199982,41.86688614,54.48838043
246,132.1896667,116.4871063,239.7599945,42.16822052,54.51272583
247,132.4244385,116.0232544,242.4600067,41.91119766,54.61620712
248,130.2918701,112.884819,245.2799988,41.21992111,54.14143753
249,127.9929962,112.0755386,245.25,40.98949051,54.15056992
250,126.8876038,111.1774368,243.5,41.06925964,54.12926483
251,127.0441208,114.1777039,241.8500061,40.48432541,53.71537018
252,123.2583237,113.101944,244.9700012,40.26275635,52.58932114
253,123.1213837,110.5063248,245.5299988,40.33366776,52.41281128
254,122.6224747,112.6775665,248.4499969,40.5375061,53.14929581
255,118.3573303,110.8616257,243.6900024,40.3425293,51.74022293
256,118.6214676,107.6047592,240.5099945,39.7664566,51.1619873
257,125.0093613,108.7693329,249.2100067,40.69701767,52.42498016
258,122.3974686,103.6077042,249.2200012,40.3425293,52.07499313
259,119.4040451,95.97874451,251.5500031,39.99688721,51.21372223
260,117.5160522,93.90619659,245.4799957,39.49171448,50.3372345
261,118.7779694,94.94246674,253.1499939,40.98949051,51.11328506
262,113.8280792,89.10972595,257.6099854,42.10617447,50.95503616
263,118.455162,95.21881866,259.019989,42.44295502,52.44020081
264,117.3693161,96.73867798,263.9899902,42.79746246,52.86322403
265,119.3062286,101.258812,260.9100037,43.24944687,53.37451553
266,118.3964691,101.929924,260.019989,43.2671814,53.4566803
267,121.2920456,106.4697876,254.6100006,43.79007721,54.05318451
268,122.8376846,106.6869125,251.5,44.020504,53.47190094
269,122.045311,105.2657394,252,43.79892731,53.99230957
270,117.9073334,102.2950897,252.4600067,43.24944687,52.97278214
271,117.3791046,106.1835785,250.9900055,43.40898132,53.05496216
272,120.7051239,105.6012955,250.3600006,44.57884216,53.5966835
273,119.8736267,98.80136108,248.3099976,44.32182693,53.17061615
274,117.4769135,92.82057953,249.6300049,44.00277328,52.47975922
275,117.9660339,93.88645935,250.75,44.76496124,52.94680405
276,118.5725403,94.50822449,256.769989,46.59065628,53.59395218
277,118.7486343,94.65626526,258.8200073,46.54634476,53.63973999
278,117.2910461,103.0747604,258.1900024,45.8816452,53.75879288
279,119.4921112,107.7626724,255.4700012,45.82847214,54.0274086
280,120.3236084,112.3814926,258.2000122,46.06776047,53.93584824
281,123.1605072,113.8618851,262.6600037,46.78184509,54.90044785
282,123.4637527,115.6186142,263.0599976,46.44265747,55.15381241
283,125.1169815,111.8386765,263.6199951,46.21058273,54.71118546
284,127.5234451,112.9933853,263.5100098,46.33554077,54.8729744
285,130.1060028,120.5433807,266.0100098,46.49621964,54.85466385
286,128.3843079,119.931488,267.9299927,46.03205109,55.39496613
287,131.5048981,127.945343,267.1000061,46.11238861,55.90169144
288,129.157135,130.8666534,267.5299988,45.85352707,55.44075775
289,131.5733643,138.8805084,269.1400146,46.09453964,55.87116623
290,131.2407684,149.5590668,272.1099854,47.12997437,56.20694733
291,131.9059448,147.5259857,270.2799988,47.17459488,55.48653793
292,130.213623,154.1384125,267.8900146,46.22843552,55.35222244
293,130.5951691,159.6849518,272.2099915,46.35339737,56.08178711
294,129.0690765,166.7414856,269.5100098,45.96957016,55.55370331
295,131.3973083,170.7385406,271.980011,46.33554077,55.86200714
296,131.7885742,172.3669739,270.8599854,46.09453964,55.7338028
297,131.4657745,170.5806274,273.6499939,45.85352707,55.39191818
298,130.6733704,173.4723358,272.9500122,45.62145996,55.17212296
299,130.5755463,177.3016052,277.6000061,45.93386459,55.21485519
300,128.5995178,185.8188019,274.9500122,45.44292831,55.53232956
301,129.6560059,206.1692505,279.1799927,45.67500305,55.52622223
302,125.0680771,174.5678253,280.2600098,45.2644043,55.07444382
303,125.3126221,168.5376892,282.7600098,45.63930511,55.18433762
304,126.916954,165.803894,289.7099915,46.80862808,55.54148865
305,127.5931015,181.308548,290.9299927,47.69231033,56.02379608
306,124.3006058,199.7048798,292.3299866,47.4513092,55.47127533
307,123.3795013,195.431488,285.6300049,47.1567421,54.90044785
308,120.3026047,183.6969147,282.9100037,46.05883789,53.61532211
309,122.4583893,178.4266968,286.8999939,46.85326385,53.95720673
310,124.8885193,190.2501068,290.6799927,47.21923828,54.65929794
311,123.732254,195.7078247,289.2200012,47.2549324,54.34182358
312,122.3408051,191.957489,287.5899963,47.24600983,54.0670929
313,122.184021,196.4776306,286.2200012,46.83540726,53.60921097
314,124.7513428,201.0471039,286.730011,47.17459488,54.35097885
315,122.9091492,193.1319427,287.7399902,46.79969788,54.29605103
316,124.5455856,192.342392,289.730011,47.65660858,54.81802368
317,124.3496017,194.9182739,287.2000122,47.58519745,54.81497574
318,124.3006058,199.7246094,287.3299866,47.22815323,55.31864929
319,122.7621536,195.1156616,289.2999878,47.23708344,55.45602417
320,122.1056061,201.333313,289.4400024,47.21923828,55.46211624
321,121.7822571,203.4453278,289.8399963,46.96930313,55.29729462
322,122.5465851,216.5319977,290.019989,47.27277756,55.04696655
323,121.0571289,212.4954681,291.9700012,47.60305405,54.90655518
324,123.3598938,230.2404175,292.519989,48.26358795,55.43465042
325,123.3697052,235.0368958,289.4599915,48.12969971,55.53843689
326,124.1928253,217.5682678,289.1900024,48.31714249,55.26981354
327,124.5749664,238.333252,288.5799866,48.21895218,54.86992645
328,123.5754776,236.6850739,284.9100037,49.12049866,55.00888062
329,124.7905579,235.4316711,286.8200073,48.88841629,55.19252777
330,127.8576126,217.696579,283.5299988,48.35285187,55.13743973
331,127.0345306,215.3180695,283.9400024,48.01365662,54.70892715
332,127.5342636,201.1852722,283.1099854,47.72802353,54.28347778
333,129.1413422,211.3999786,278.6900024,47.42452621,54.35080338
334,127.838089,209.6432343,274.0400085,46.47836685,53.74475861
335,129.6410522,223.134552,277.1000061,47.4691658,54.28959656
336,131.2872925,233.3986053,276.9200134,47.54056549,54.47936249
337,131.0129395,226.4999695,274.6600037,47.09425735,54.77013779
338,130.7287445,224.8123169,275.4899902,47.11211395,55.31802368
339,130.4347992,227.0131836,278.3800049,47.36204529,56.05262375
340,132.071228,225.4538269,276.6099854,47.27277756,56.22096252
341,133.5900726,225.0787964,276.2099915,47.22815323,56.09547043
342,134.2074127,220.9534454,277.9200134,47.30849075,56.28524399
343,134.5112152,221.0718689,280.1700134,47.70124054,56.33726501
344,137.1471405,221.0718689,279.1199951,48.12369537,56.47807693
345,139.1657104,210.7091217,277.3200073,47.62034988,55.91182327
346,141.6644745,203.2380676,279.2399902,47.87201691,55.84142685
347,140.3612061,205.2119293,274.1000061,47.87201691,55.62410355
348,142.1936188,214.558136,280.4899902,48.30345917,56.08934784
